                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8449,                 5.2133,                 4.2587,                 0.0024,                    0.5,                0.00334,                0.00121,                 3.5605,                 4.3163,                 4.1604,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                 3.9043,                 5.1186,                 4.2347,                0.00249,                    0.5,                0.00294,                0.00108,                 3.5585,                 4.3144,                 4.1607,             0.00018564,             0.00018564,             0.00018564
                      3,                 3.8267,                  4.862,                 4.1872,                 0.0024,                    0.5,                0.00456,                0.00146,                 3.5595,                 4.3112,                 4.1588,             0.00028181,             0.00028181,             0.00028181
                      4,                 3.8065,                  4.752,                 4.1498,                0.00245,                    0.5,                0.00889,                0.00192,                 3.5543,                 4.3079,                 4.1543,             0.00037599,             0.00037599,             0.00037599
                      5,                 3.8183,                 4.7143,                 4.1052,                0.00239,                    0.5,                0.00862,                0.00218,                 3.5454,                 4.3228,                 4.1514,             0.00046819,             0.00046819,             0.00046819
                      6,                 3.5194,                  4.332,                 4.0039,                0.00242,                    0.5,                0.00715,                0.00202,                 3.5355,                 4.3393,                  4.156,             0.00055842,             0.00055842,             0.00055842
                      7,                 3.4101,                 4.2191,                 3.8907,                0.00244,                    0.5,                0.01379,                 0.0033,                 3.5244,                 4.1551,                 4.1563,             0.00064666,             0.00064666,             0.00064666
                      8,                 3.2002,                 4.1362,                 3.8035,                0.00163,                    0.5,                0.01354,                0.00338,                  3.527,                 4.2273,                 4.1672,             0.00073293,             0.00073293,             0.00073293
                      9,                 3.1244,                 3.9799,                 3.6933,                  0.002,                    0.5,                0.01425,                0.00324,                   3.64,                 4.2152,                 4.2573,             0.00081721,             0.00081721,             0.00081721
                     10,                 3.0789,                 3.9153,                 3.5805,                0.00196,                    0.5,                 0.0229,                0.00719,                 3.6704,                 4.3824,                 4.3082,             0.00089951,             0.00089951,             0.00089951
                     11,                 3.0936,                 3.8442,                  3.472,                0.00471,                  0.425,                0.03462,                0.00671,                  3.575,                  4.238,                 4.0945,             0.00097984,             0.00097984,             0.00097984
                     12,                 2.8614,                  3.489,                 3.3201,                 0.0015,                 0.5016,                 0.0684,                0.01425,                 3.3433,                 4.0352,                 3.9149,              0.0010582,              0.0010582,              0.0010582
                     13,                 2.9394,                 3.5901,                 3.2785,                  0.003,                0.54167,                0.01128,                0.00299,                 3.2773,                 3.9732,                 3.8936,              0.0011015,              0.0011015,              0.0011015
                     14,                 2.8674,                 3.3598,                 3.1238,                0.00329,                0.52724,                0.01484,                0.00326,                 3.3103,                 4.1049,                 3.9894,              0.0010891,              0.0010891,              0.0010891
                     15,                 2.8571,                 3.4816,                   3.07,                0.00317,                0.54327,                0.04558,                0.01093,                 3.1313,                  3.948,                 3.7831,              0.0010768,              0.0010768,              0.0010768
                     16,                 2.7965,                 3.3043,                 3.0548,                  0.003,                0.54808,                0.03922,                0.01221,                 3.0363,                 3.6763,                 3.6271,              0.0010644,              0.0010644,              0.0010644
                     17,                 2.6491,                 3.0905,                 2.9207,                0.54673,                0.24972,                0.12394,                0.04376,                 2.9147,                 3.2239,                 3.3647,               0.001052,               0.001052,               0.001052
                     18,                 2.6795,                 3.0972,                 2.8196,                0.57366,                0.10346,                0.11568,                0.05459,                 2.7193,                 3.2728,                 3.0989,              0.0010396,              0.0010396,              0.0010396
                     19,                 2.5693,                 2.9966,                 2.8103,                0.56073,                0.12495,                0.15274,                0.07829,                 2.6359,                 2.9706,                 2.9804,              0.0010273,              0.0010273,              0.0010273
                     20,                 2.5772,                 2.8885,                 2.7018,                0.54615,                0.07051,                0.13592,                 0.0687,                 2.3845,                 2.6989,                  2.684,              0.0010149,              0.0010149,              0.0010149
                     21,                 2.6302,                 2.8709,                 2.7447,                0.62892,                0.22973,                0.23892,                 0.1454,                 2.3136,                 2.3371,                 2.5453,              0.0010025,              0.0010025,              0.0010025
                     22,                  2.551,                 2.7633,                 2.7096,                0.82693,                0.16403,                0.25158,                0.14452,                 2.3007,                 2.4252,                 2.5687,             0.00099013,             0.00099013,             0.00099013
                     23,                 2.5192,                 2.8001,                  2.647,                0.69803,                0.20166,                0.23049,                0.12036,                 2.2729,                 2.4337,                  2.549,             0.00097775,             0.00097775,             0.00097775
                     24,                 2.5147,                 2.6244,                 2.6265,                0.74644,                0.20155,                0.19236,                0.09824,                  2.159,                 2.3823,                 2.5217,             0.00096537,             0.00096537,             0.00096537
                     25,                 2.4252,                 2.6427,                 2.4695,                0.77418,                0.21932,                0.26458,                0.13815,                 2.1091,                 2.3106,                  2.369,               0.000953,               0.000953,               0.000953
                     26,                 2.3992,                 2.4952,                 2.4482,                0.69341,                0.32012,                0.36158,                0.19548,                 2.0902,                 2.0831,                 2.2313,             0.00094062,             0.00094062,             0.00094062
                     27,                 2.4026,                 2.4918,                 2.3728,                0.58861,                0.29762,                0.35776,                0.16384,                 2.2042,                 2.1031,                 2.2583,             0.00092825,             0.00092825,             0.00092825
                     28,                 2.3855,                 2.4625,                 2.4146,                0.61758,                0.28236,                0.35297,                 0.1713,                  2.125,                  2.063,                 2.2235,             0.00091588,             0.00091588,             0.00091588
                     29,                 2.3593,                 2.5322,                 2.4177,                0.71186,                0.27086,                0.28187,                0.15098,                  2.089,                 2.1385,                 2.2553,              0.0009035,              0.0009035,              0.0009035
                     30,                 2.3619,                 2.3558,                  2.379,                0.39866,                0.42964,                0.42856,                0.22862,                 1.9973,                 1.8428,                 2.0991,             0.00089112,             0.00089112,             0.00089112
                     31,                 2.2709,                 2.4143,                 2.3883,                0.65653,                0.35905,                0.47803,                0.29209,                 2.0469,                 2.1026,                 2.0896,             0.00087875,             0.00087875,             0.00087875
                     32,                  2.311,                 2.3001,                 2.3169,                0.48206,                0.62268,                0.52273,                0.29312,                 2.0004,                 2.1245,                 2.0437,             0.00086637,             0.00086637,             0.00086637
                     33,                 2.3106,                 2.2111,                 2.2785,                 0.5423,                0.50305,                0.50992,                0.27824,                  1.961,                 2.3229,                 2.0051,               0.000854,               0.000854,               0.000854
                     34,                 2.2855,                 2.2714,                 2.2789,                0.48421,                0.58023,                0.52947,                0.29389,                 1.9181,                 2.3911,                 1.9564,             0.00084162,             0.00084162,             0.00084162
                     35,                   2.25,                  2.192,                 2.2154,                0.59068,                0.49988,                0.53703,                0.33264,                 1.9548,                  1.938,                 1.9775,             0.00082925,             0.00082925,             0.00082925
                     36,                 2.2613,                 2.2327,                 2.3189,                0.48556,                 0.5844,                 0.5638,                0.29077,                 1.9889,                 1.6719,                 2.0264,             0.00081688,             0.00081688,             0.00081688
                     37,                  2.205,                 2.1161,                 2.1317,                 0.5505,                0.53566,                0.54666,                0.26163,                 2.0813,                 1.6869,                 2.1159,              0.0008045,              0.0008045,              0.0008045
